a	ei	第一个字母 A; 一个; 第一的; art. [计] 累加器, 加法器, 地址, 振幅, 模拟, 区域, 面积, 汇编, 组件, 异步	gk zk
abandon	ә'bændәn	vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵; n. 放任, 无拘束, 狂热	cet4 cet6 gk gre ky toefl
abandoned	ә'bændәnd	a. 被抛弃的, 无约束的, 恣意放荡的	toefl
abandonment	ә'bændәmәnt	n. 放弃, 抛弃, 放纵; [经] 委付, 废弃, 放弃(采矿权)	toefl
abase	ә'beis	vt. 降低...的地位, 降低...的品格, 贬抑, 使谦卑	gre
abash	ә'bæʃ	vt. 使不安, 使羞愧, 使困窘	gre
abashed	ә'bæʃd	a. 不安的, 窘迫的	toefl
abate	ә'beit	vt. 减少, 减轻, 减弱, 废除, 打折扣; vi. 减轻, 减弱, 减少, 失效, 被废除	gre toefl
abbreviate	ә'bri:vieit	vt. 缩写, 使...简略, 缩短; vi. 使用缩写词	gre toefl
abbreviation	ә.bri:vi'eiʃәn	n. 缩写词, 缩写, 缩短, 节略	cet6 ielts toefl
abdicate	'æbdikeit	vt. 正式放弃; vi. 退位, 退出, 辞职	gre toefl
abdomen	'æbdәmen	n. 腹部; [医] 腹[部]	ky
abduct	æb'dʌkt	vt. 诱拐, 绑架, 使外展; [医] 外展, 展	gre toefl
aberrant	æ'berәnt	a. 偏离正路的, 偏离常轨的, 畸变的; [化] 异常的	gre
aberration	æbә'reiʃәn	n. 离开正路, 偏离, 畸变, 光行差, 心理失常, 色差; [化] 光行差; 像差	gre
abet	ә'bet	vt. 教唆, 煽动, 怂恿, 帮助, 支持	gre
abeyance	ә'beiәns	n. 中止, 暂搁, 停止, 归属待定; [化] 潜态	gre
abhor	әb'hɒ:	vt. 憎恶, 痛恨, 回避, 拒绝	gre toefl
abhorrent	әb'hɒrәnt	a. 令人憎恨的, 可恶的, 厌恶的, 相抵触的, 不一致的	gre toefl
abide	ә'baid	vi. 停留, 遵守, 居留, 继续下去; vt. 忍受, 经受, 屈从于	cet6 gre ky toefl
abiding	ә'baidiŋ	a. 永久的, 持久的, 不变的	toefl
ability	ә'biliti	n. 能力, 才干; [经] 能力, 才能	cet4 gk ielts ky toefl zk
abject	'æbdʒekt	a. 绝望无助的, 可怜的, 糟透的, 卑鄙的, 自卑的; [法] 卑鄙的, 卑下的, 可怜的	gre toefl
abjure	әb'dʒuә	vt. 发誓断绝, 公开放弃; [法] 誓绝, 弃绝, 公开放弃	gre
ablaze	ә'bleiz	a. 着火的, 闪亮的, 激昂的; adv. 着火, 闪耀	toefl
able	'eibl	a. 能干的, 能够的	gk zk
ablution	ә'blu:ʃәn	n. 洗澡, 洗礼, 斋戒沐浴; [化] 洗净; 洗净液	gre toefl
abnegate	'æbnigeit	vt. 放弃, 舍弃, 克制(欲望)	gre
abnegation	.æbni'geiʃәn	n. 放弃, 舍弃, 克制	gre
abnormal	æb'nɒ:mәl	a. 反常的, 不规则的, 变态的, 畸形的; n. 畸形的人	cet4 cet6 gk ielts ky toefl
aboard	ә'bɒ:d	adv. 在船上, 在火车上, 在飞机上; prep. 在...之上	cet4 gk ky toefl
abolish	ә'bɒliʃ	vt. 废止, 革除, 消灭; [经] 废除, 取消, 裁撤	cet6 gk gre ielts ky toefl
abolition	.æbәu'liʃәn	n. 废除, 废奴运动; [医] 禁止, 消失	gre toefl
abolitionist	.æbәu'liʃәnist	n. 废除主义者, 废奴主义者	toefl
abominate	ә'bɒmineit	vt. 厌恶, 憎恶	gre
aboriginal	.æbә'ridʒәnәl	a. 原始的, 土著的; n. 土著居民, 土生生物	gre ielts
abort	ә'bɒ:t	vi. 流产, 中途失败; vt. 使流产, 使失败, 使中止	ielts toefl
abortion	ә'bɒ:ʃәn	n. 流产, 堕胎, 失败, 夭折, 中止; [医] 流产, 小产; 顿挫	gk ielts
abortive	ә'bɒ:tiv	a. 流产的, 堕胎的, 失败的; [医] 流产的; 顿挫的	gre toefl
abound	ә'baund	vi. 大量存在, 富于, 充满	gre ielts ky toefl
about	ә'baut	prep. 在...周围, 大约, 有关, 关于; adv. 大约, 四处, 在附近, 周围	gk zk
above	ә'bʌv	prep. 在上方, 超出; adv. 在上面; a. 上述的, 上面的	gk zk
aboveboard	ә.bʌv'bɒ:d	adv. 光明正大地, 率直地; a. 光明正大的, 率直的	gre
abrade	ә'breid	vt. 擦伤, 磨损, 磨; [医] 擦除, 擦破; 磨损, 磨除	gre
abrasion	ә'breiʒәn	n. 磨擦, 磨损, 磨损处; [化] 磨耗; 磨蚀	gre ielts toefl
abrasive	ә'breisiv	n. 研磨料; a. 有研磨作用的	gre toefl
abreast	ә'brest	adv. 并肩地, 并列地	gre
abridge	ә'bridʒ	vt. 缩短, 删节, 减少, 剥夺; [法] 剥夺; 节略	gre ielts toefl
abroad	ә'brɒ:d	adv. 往国外, 到室外, 到处; a. 往国外的, 在室外的, 广泛四散的	gk toefl zk
abrogate	'æbrәgeit	vt. 废除, 取消; [经] 取消, 废除, 不生效(的法令)	gre
abrupt	ә'brʌpt	a. 突然的, 唐突的, 陡峭的, 不连贯的	cet6 gk gre ielts ky toefl
abscission	æb'siʒәn	n. 切断, 除去; [医] 切除	gre
abscond	әb'skɒnd	vi. 潜逃, 逃匿; [经] (为躲避罪责,债务等)潜逃	gre
absence	'æbsәns	n. 缺席, 缺乏, 没有; [医] 失神	cet4 cet6 gk ky toefl
absent	'æbsәnt	a. 缺席的, 不在的, 缺乏的, 漫不经心的; vt. 使缺席	cet4 cet6 gk ky toefl zk
absentee	.æbsәn'ti:	n. 缺席者, 不在者; [经] 缺勤者, 缺席者, 未到工者	toefl
absenteeism	æbsәn'ti:iz(ә)m	n. 经常无故缺席, 旷职, 旷工, 旷课; [经] 有计划的怠工, 旷工	gre toefl
absolute	'æbsәlu:t	a. 绝对的, 专制的, 完全的, 独立的; n. 绝对事物	cet4 cet6 gk gre ky toefl
absolutely	'æbsәlu:tli	adv. 完全地, 绝对地, 确确实实地	cet4 toefl
absolve	әb'zɒlv	vt. 宣告...无罪, 赦免, 免除; [经] 免偿(债务), 解除	gre toefl
absorb	әb'sɒ:b	vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担; [医] 吸收	cet4 cet6 gk gre ielts ky toefl
absorbing	әb'sɒ:biŋ	a. 吸引人的, 非常有趣的; [机] 吸收的	toefl
absorption	әb'sɒ:pʃәn	n. 吸收, 专心, 全神贯注; [化] 吸收; 吸收作用	cet6 toefl
